,area_type,availability,society,total_sqft,bath,balcony,price,site_location,total_sqft_normalized,bhk
0,Super built-up  Area,0,83.17218597001224,1056.0,2.0,1.0,39.07,Alandi Road,0.0201832756212814,2
1,Plot  Area,1,119.09288109445126,2600.0,5.0,3.0,120.0,Ambegaon Budruk,0.049721642976028775,1
2,Built-up  Area,1,128.2697082088187,1440.0,2.0,3.0,62.0,Anandnagar,0.027529605326089036,3
3,Super built-up  Area,1,116.0878466555601,1521.0,3.0,1.0,95.0,Aundh,0.029079221748196896,3
4,Super built-up  Area,1,128.2697082088187,1200.0,2.0,1.0,51.0,Aundh Road,0.022938149260584264,2
5,Super built-up  Area,1,100.11197661668707,1170.0,2.0,1.0,38.0,Balaji Nagar,0.022364217252396165,2
6,Super built-up  Area,0,184.1800774875051,2732.0,4.0,2.0,204.0,Baner,0.0522469438120564,4
7,Super built-up  Area,1,229.44891768077395,3300.0,4.0,2.0,600.0,Baner road,0.06311338983375103,4
8,Super built-up  Area,1,128.2697082088187,1310.0,3.0,1.0,63.25,Bhandarkar Road,0.025042566623940617,3
9,Plot  Area,1,128.2697082088187,1020.0,6.0,2.0,370.0,Bhavani Peth,0.019494557211455682,1
10,Super built-up  Area,0,128.2697082088187,1800.0,2.0,2.0,70.0,Bibvewadi,0.03441678942434619,3
11,Plot  Area,1,246.1393216416769,2785.0,5.0,3.0,295.0,Bopodi,0.053260890359855366,1
12,Super built-up  Area,1,92.52455138573178,1000.0,2.0,1.0,38.0,Budhwar Peth,0.01911193587266362,2
13,Built-up  Area,1,128.2697082088187,1100.0,2.0,2.0,40.0,Bund Garden Road,0.02102504256662394,2
14,Plot  Area,1,118.44530995002042,2250.0,3.0,2.0,148.0,Camp,0.04302576954716764,1
15,Super built-up  Area,1,100.64245074616328,1175.0,2.0,2.0,73.5,Chandan Nagar,0.02245987258709418,2
16,Super built-up  Area,1,48.08457926727495,1180.0,3.0,2.0,48.0,Dapodi,0.022555527921792197,3
17,Super built-up  Area,1,51.87343364353085,1540.0,3.0,3.0,60.0,Deccan Gymkhana,0.029442712020049357,3
18,Super built-up  Area,1,246.40798441112474,2770.0,4.0,2.0,290.0,Dehu Road,0.05297392435576132,3
19,Super built-up  Area,1,128.2697082088187,1100.0,2.0,2.0,48.0,Dhankawadi,0.02102504256662394,2
20,Built-up  Area,1,128.2697082088187,600.0,1.0,1.0,15.0,Dhayari Phata,0.01145950909682233,1
21,Super built-up  Area,0,124.18345731334149,1755.0,3.0,1.0,122.0,Dhole Patil Road,0.033555891412064054,3
22,Plot  Area,1,128.11679649250306,2800.0,5.0,2.0,380.0,Erandwane,0.05354785636394942,1
23,Super built-up  Area,1,128.2697082088187,1767.0,3.0,1.0,103.0,Fatima Nagar,0.03378546421533929,3
24,Super built-up  Area,0,77.46387822647418,510.0,1.0,0.0,25.25,Fergusson College Road,0.00973771307225804,1
25,Super built-up  Area,0,128.2697082088187,1250.0,3.0,2.0,56.0,Ganesh Peth,0.023894702607564423,3
26,Super built-up  Area,1,35.31799516207319,660.0,1.0,1.0,23.1,Ganeshkhind,0.012607373113198523,2
27,Built-up  Area,0,128.2697082088187,1610.0,3.0,2.0,81.0,Ghorpade Peth,0.030781886705821583,3
28,Super built-up  Area,0,62.12649498929009,1151.0,2.0,2.0,48.77,other,0.022000726980543703,2
29,Super built-up  Area,1,79.2968733000136,1025.0,2.0,1.0,47.0,Gokhale Nagar,0.019590212546153698,3
30,Super built-up  Area,1,48.08457926727495,1075.0,2.0,1.0,35.0,Guruwar peth,0.02054676589313386,3
31,Super built-up  Area,1,117.68957156316435,1760.0,2.0,2.0,123.0,Hadapsar,0.033651546746762066,3
32,Super built-up  Area,1,51.87343364353085,1693.0,3.0,3.0,57.39,Hadapsar Industrial Estate,0.03236976526180865,3
33,Built-up  Area,1,114.61197661668707,1925.0,3.0,2.0,125.0,Hingne Khurd,0.0368081727917966,3
34,Super built-up  Area,0,49.165813943422656,700.0,2.0,1.0,36.0,Jangali Maharaj Road,0.013372615790782652,2
35,Super built-up  Area,1,128.2697082088187,1070.0,2.0,1.0,45.5,Kalyani Nagar,0.020451110558435844,2
36,Super built-up  Area,1,107.52696067931457,1724.0,3.0,2.0,125.0,Karve Nagar,0.03296282833693635,3
37,Super built-up  Area,1,128.2697082088187,1290.0,2.0,2.0,56.12,Karve Road,0.024659945285148553,3
38,Built-up  Area,1,128.2697082088187,1143.0,2.0,2.0,45.0,Kasba Peth,0.02184767844502688,2
39,Built-up  Area,1,107.27864328335374,1296.0,2.0,2.0,81.0,Katraj,0.02477473168678617,2
40,Super built-up  Area,0,92.19740852858892,1254.0,3.0,2.0,38.0,Khadaki,0.023971226875322837,3
41,Super built-up  Area,1,100.11197661668707,600.0,1.0,0.0,38.0,Khadki,0.01145950909682233,1
42,Plot  Area,1,128.2697082088187,660.0,1.0,0.0,48.0,Kharadi,0.012607373113198523,1
43,Super built-up  Area,0,108.48178826552147,1330.74,2.0,2.0,91.79,Kondhwa,0.02543934495226799,2
44,Plot  Area,1,128.2697082088187,600.0,9.0,2.0,200.0,Kondhwa Budruk,0.01145950909682233,1
45,Super built-up  Area,1,99.27864328335374,970.0,2.0,0.0,33.0,Kondhwa Khurd,0.018538003864475523,2
46,Super built-up  Area,0,119.35727569286588,1459.0,2.0,1.0,94.82,Koregaon Park,0.027893095597941498,2
47,Plot  Area,1,128.2697082088187,800.0,1.0,1.0,130.0,Kothrud,0.015285722484742975,1
48,Built-up  Area,1,128.2697082088187,869.0,2.0,1.0,36.0,Law College Road,0.016605766103575597,2
49,Super built-up  Area,1,102.11197661668707,1270.0,2.0,1.0,50.0,Laxmi Road,0.02427732394635649,2
50,Super built-up  Area,0,92.44491947949031,1670.0,3.0,1.0,99.0,Lulla Nagar,0.031929750722197774,3
51,Built-up  Area,1,102.58398246251531,2010.0,3.0,2.0,91.0,Mahatma Gandhi Road,0.038434313481662874,3
