,availability,society,total_sqft,bath,balcony,price,site_location,total_sqft_normalized,bhk,area_type_Carpet  Area,area_type_Plot  Area,area_type_Super built-up  Area
0,0,83.17218597001224,1056.0,2.0,1.0,39.07,110.09902718098677,0.0201832756212814,2,False,False,True
1,1,119.09288109445126,2600.0,5.0,3.0,120.0,120.72395675845158,0.049721642976028775,1,False,True,False
2,1,128.2697082088187,1440.0,2.0,3.0,62.0,107.80887042642944,0.027529605326089036,3,False,False,False
3,1,116.0878466555601,1521.0,3.0,1.0,95.0,131.34637042642944,0.029079221748196896,3,False,False,True
4,1,128.2697082088187,1200.0,2.0,1.0,51.0,121.9853652091558,0.022938149260584264,2,False,False,True
5,1,100.11197661668707,1170.0,2.0,1.0,38.0,118.45308471214373,0.022364217252396165,2,False,False,True
6,0,184.1800774875051,2732.0,4.0,2.0,204.0,100.20663281478959,0.0522469438120564,4,False,False,True
7,1,229.44891768077395,3300.0,4.0,2.0,600.0,118.73740746267693,0.06311338983375103,4,False,False,True
8,1,128.2697082088187,1310.0,3.0,1.0,63.25,95.69802737375973,0.025042566623940617,3,False,False,True
9,1,128.2697082088187,1020.0,6.0,2.0,370.0,119.12553748042043,0.019494557211455682,1,False,True,False
10,0,128.2697082088187,1800.0,2.0,2.0,70.0,141.19959342447638,0.03441678942434619,3,False,False,True
11,1,246.1393216416769,2785.0,5.0,3.0,295.0,117.52923844859242,0.053260890359855366,1,False,True,False
12,1,92.52455138573178,1000.0,2.0,1.0,38.0,101.27167958125085,0.01911193587266362,2,False,False,True
13,1,128.2697082088187,1100.0,2.0,2.0,40.0,109.6178601368064,0.02102504256662394,2,False,False,False
14,1,118.44530995002042,2250.0,3.0,2.0,148.0,103.98408471214373,0.04302576954716764,1,False,True,False
15,1,100.64245074616328,1175.0,2.0,2.0,73.5,103.79611248014271,0.02245987258709418,2,False,False,True
16,1,48.08457926727495,1180.0,3.0,2.0,48.0,119.06597063617107,0.022555527921792197,3,False,False,True
17,1,51.87343364353085,1540.0,3.0,3.0,60.0,103.49056847013973,0.029442712020049357,3,False,False,True
18,1,246.40798441112474,2770.0,4.0,2.0,290.0,117.15219619507128,0.05297392435576132,3,False,False,True
19,1,128.2697082088187,1100.0,2.0,2.0,48.0,97.32490680638384,0.02102504256662394,2,False,False,True
20,1,128.2697082088187,600.0,1.0,1.0,15.0,112.68987225140931,0.01145950909682233,1,False,False,False
21,0,124.18345731334149,1755.0,3.0,1.0,122.0,103.0567275692866,0.033555891412064054,3,False,False,True
22,1,128.11679649250306,2800.0,5.0,2.0,380.0,118.06835870287857,0.05354785636394942,1,False,True,False
23,1,128.2697082088187,1767.0,3.0,1.0,103.0,103.30129899785801,0.03378546421533929,3,False,False,True
24,0,77.46387822647418,510.0,1.0,0.0,25.25,140.16008351901496,0.00973771307225804,1,False,False,True
25,0,128.2697082088187,1250.0,3.0,2.0,56.0,104.70072756928658,0.023894702607564423,3,False,False,True
26,1,35.31799516207319,660.0,1.0,1.0,23.1,128.33123640072031,0.012607373113198523,2,False,False,True
